species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Platyptilia tesseradactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",16.0,20.0,3.0,,,123037.0,,,,,,,
Porrittia galactodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,4.0,1.0,,,295288.0,,,,,,,
Procapperia kuldschaensis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Procapperia linariae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",10.0,10.0,0.0,,,968866.0,,,,,,,
Procapperia maculatus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",7.0,8.0,1.0,BEL,,1138340.0,513292.0,,,,,,
Pselnophorus heterodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",8.0,12.0,1.0,,,286119.0,,,,,,,
Pselnophorus poggei,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Pterophorus ischnodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,0.0,BEL,,517560.0,,,,,,,
Pterophorus pentadactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",37.0,45.0,1.0,BEL,,202501.0,319085.0,,,,,,
Pterophorus volgensis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Puerphorus olbiadactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,5.0,1.0,,,362509.0,,,,,,,
Stangeia siceliota,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",16.0,17.0,2.0,,,362510.0,,,,,,,
Stenoptilia annadactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",70.0,73.0,1.0,,,224884.0,,,,,,,
Stenoptilia aridus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,10.0,0.0,LF,,517562.0,981227.0,973495.0,285562.0,,,,
Stenoptilia asclepiadae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,1.0,4.0,1.0,,,285566.0,,,,,,,
Stenoptilia bassii,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia bipunctidactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",52.0,66.0,1.0,LF,,205690.0,258095.0,,,,,,
Stenoptilia coprodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",45.0,50.0,2.0,BEL,,246299.0,978793.0,,,,,,
Stenoptilia eborinodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia elkefi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia failliei,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,4.0,8.0,0.0,,,285559.0,,,,,,,
Stenoptilia graphodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",10.0,14.0,1.0,,,255672.0,,,,,,,
Stenoptilia gratiolae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",3.0,6.0,0.0,,,517563.0,,,,,,,
Stenoptilia hahni,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia islandicus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",17.0,22.0,1.0,,,517525.0,,,,,,,
Stenoptilia kurushensis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
